code,http_status,message,description
BAD_REQUEST,400,Bad Request,Invalid request parameters
VALIDATION_ERROR,400,Validation Error,Request body validation failed
UNAUTHORIZED,401,Unauthorized,Authentication required
INVALID_TOKEN,401,Invalid Token,The provided token is invalid or expired
FORBIDDEN,403,Forbidden,Insufficient permissions
RESOURCE_NOT_FOUND,404,Resource Not Found,The requested resource does not exist
METHOD_NOT_ALLOWED,405,Method Not Allowed,HTTP method not supported
CONFLICT,409,Conflict,Resource state conflict
RESOURCE_CONFLICT,409,Resource Conflict,Resource already exists
UNPROCESSABLE_ENTITY,422,Unprocessable Entity,Semantic validation errors
RATE_LIMIT_EXCEEDED,429,Rate Limit Exceeded,Too many requests
INTERNAL_SERVER_ERROR,500,Internal Server Error,Unexpected server error
SERVICE_UNAVAILABLE,503,Service Unavailable,Service temporarily unavailable
GATEWAY_TIMEOUT,504,Gateway Timeout,Upstream service timeout
