evidence_id,source_id,finding,decision_impact,confidence,date_logged
EV001,SR001,"Existing path resolution logic in src/specify_cli/core/paths.py provides locate_project_root() and worktree detection","Can reuse existing Python utilities for path resolution",High,2025-12-17
EV002,SR002,"tasks_cli.py already implements argparse-based CLI with 850 lines of task management logic","Can convert tasks_cli.py to Typer for spec-kitty agent tasks namespace",High,2025-12-17
EV003,SR003,"User report: agents retry commands due to bash script path confusion and worktree script copying issues","Validates core problem statement and need for unified CLI",High,2025-12-17
EV004,SR004,"Bash script inventory shows 24 scripts totaling ~2600 lines, categorized as wrappers (15), utilities (4), CI (5)","Confirms all bash can be eliminated with Python equivalents",High,2025-12-17
EV005,SR005,"15 of 24 bash scripts are thin wrappers that call tasks_cli.py with specific arguments","Migration complexity is low for majority of scripts",High,2025-12-17
EV006,SR006,"common.sh functions (get_repo_root, get_current_branch, get_feature_paths) already have Python equivalents in src/specify_cli/core/","No new path resolution logic needed, just expose existing utilities",High,2025-12-17
EV007,SR007,"Existing worktree detection in resolve_worktree_aware_feature_dir() checks for .worktrees in path","Path resolution strategy is already validated in production codebase",High,2025-12-17
EV008,SR008,"Recent fix (commit d9a07fc) handles broken symlinks by checking is_symlink() before exists()","Edge case handling pattern is established and working",High,2025-12-17
EV009,SR009,"Windows fallback copies files instead of creating symlinks (existing pattern in codebase)","Cross-platform compatibility already addressed",Medium,2025-12-17
EV010,SR010,"Migration m_0_9_0_frontmatter_only.py successfully migrated task structure across all projects","Upgrade migration infrastructure is proven and reliable",High,2025-12-17
EV011,SR011,"Existing migrations track version in metadata and support idempotent execution","Can reuse migration patterns for bash-to-Python upgrade",High,2025-12-17
EV012,SR012,"Typer supports optional --json flags and custom output formatters","Dual-mode output (JSON for agents, Rich for humans) is straightforward to implement",High,2025-12-17
EV013,SR013,"Existing codebase uses Rich console for user output and plain text for CI/scripts","Pattern for dual output modes already established",Medium,2025-12-17
EV014,SR014,"Typer sub-app pattern allows nested command structure (app.add_typer)","Can implement spec-kitty agent namespace cleanly without polluting main CLI",High,2025-12-17
EV015,SR015,"Existing tests/ directory has pytest infrastructure with unit and integration test patterns","Test coverage requirement (90%+) is achievable with existing testing framework",High,2025-12-17
EV016,SR003,"User explicitly requested research phase to validate proposed migration plan","Research phase is critical prerequisite, not optional",High,2025-12-17
EV017,SR016,"Proposed plan includes 7 phases covering infrastructure, commands, migration, testing","Comprehensive approach exists but needs validation against actual codebase",Medium,2025-12-17
EV018,SR017,"GitHub Actions already uses bash scripts for release workflow (6 scripts in .github/workflows/scripts/)","CI scripts are candidates for migration to spec-kitty agent build-release",Medium,2025-12-17
EV019,SR018,"PEP 8 recommends pathlib over os.path for modern Python path manipulation","Use pathlib consistently in path resolution implementation",High,2025-12-17
EV020,SR019,"Git worktree documentation confirms worktrees are separate working trees sharing repository objects","Validates worktree detection approach and symlink strategy",High,2025-12-17
